Woreda,Zone,Region,adm3_pcode,Facilities_NoSupport,HR_NoSupport,LMRI_NoSupport,LowN_Flag,Facilities_Support,HR_Support,LMRI_Support,Delta
Hargelle,Afder,Somali,ET050806,9,4,0.44,0,2,0,0,-0.44
Harshin,Fafan,Somali,ET050207,33,23,0.7,0,0,0,,
Hawa Gelan,Kellem Wollega,Oromia,ET041801,7,0,0,0,0,0,,
Hawzen,Eastern,Tigray,ET010305,0,0,,0,27,1,0.04,
Hintalo,South Eastern,Tigray,ET010603,17,15,0.88,0,0,0,,
Indabaguna,North Western,Tigray,ET010114,0,0,,0,1,0,0,
Intang,Itang Special woreda,Gambella,ET120407,15,0,0,0,0,0,,
Jinka town,Ari zone,South Ethiopia,ET070709,1,0,0,1,0,0,,
Kabribayah,Fafan,Somali,ET050206,43,13,0.3,0,0,0,,
Kelafo,Shebele,Somali,ET050605,0,0,,0,15,4,0.27,
Kersadula,Liben,Somali,,7,5,0.71,0,0,0,,
Keyh-Tekli,Central,Tigray,ET010221,13,0,0,0,0,0,,
Kilte-awlaelo,Eastern,Tigray,ET010306,0,0,,0,14,12,0.86,
Kolla-tembien,Central,Tigray,ET010208,16,5,0.31,0,0,0,,
Laelay Koraro,North Western,Tigray,ET010104,12,0,0,0,0,0,,
Lailay Maichew,Central,Tigray,ET010205,7,0,0,0,9,0,0,0
Lataa sibuu,West Wollega,Oromia,ET040197,14,10,0.71,0,1,0,0,-0.71
Lega Hidha,East Bale,Oromia,ET042102,0,0,,0,10,0,0,
Maichew,Southern,Tigray,ET010409,3,0,0,1,0,0,,
Marsin,Korahe,Somali,ET050586,0,0,,0,15,12,0.8,
Mekoni,Southern,Tigray,ET010412,5,1,0.2,0,0,0,,
Mena Sibu,West Wollega,Oromia,ET040101,19,13,0.68,0,0,0,,
Mendi,West Wollega,Oromia,ET040198,1,0,0,1,0,0,,
Mieso,West Hararghe,Oromia,ET040901,4,0,0,1,31,9,0.29,0.29
Miyo,Borena,Oromia,ET041216,29,0,0,0,0,0,,
Moyale,Borena,Oromia,ET041210,22,0,0,0,0,0,,
Naeder,Central,Tigray,ET010209,14,0,0,0,0,0,,
Nguenyyiel refugee camp,Itang Special woreda,Gambella,ET120407,0,0,,0,1,0,0,
Oura,Assosa,Benishangul Gumuz,,41,4,0.1,0,0,0,,
Pinyudo I refugee camp,Agnuak,Gambella,ET120407,0,0,,0,1,0,0,
Pinyudo II Refugee camp,Agnuak,Gambella,ET120407,0,0,,0,1,0,0,
Rama,Central,Tigray,ET010214,5,0,0,0,4,0,0,0
Raya Azebo,Southern,Tigray,ET010406,12,0,0,0,0,0,,
Raya Kobo,North Wollo,Amhara,ET030302,11,8,0.73,0,0,0,,
Rayitu,East Bale,Oromia,ET042104,5,0,0,0,1,0,0,0
Samree,South Eastern,Tigray,ET010606,8,0,0,0,5,0,0,0
Sasiga,East Wollega,Oromia,ET040211,9,3,0.33,0,3,1,0.33,0
Sayo,Kellem Wollega,Oromia,ET041805,0,0,,0,4,0,0,
Sehala Seyemt,Waghimra,Amhara,ET030806,11,0,0,0,0,0,,
Seharti,South Eastern,Tigray,ET010601,0,0,,0,12,0,0,
Shilabo,Korahe,Somali,ET050503,0,0,,0,6,1,0.17,
Shire,North Western,Tigray,ET010101,1,0,0,1,3,1,0.33,0.33
South Ari,Ari zone,South Ethiopia,ET070702,1,0,0,1,0,0,,
Subhasaesie,Eastern,Tigray,ET010303,15,1,0.07,0,0,0,,
Tahtay Koraro,North Western,Tigray,ET010104,10,3,0.3,0,13,6,0.46,0.16
Tahtay Maychew,Central,Tigray,ET010206,13,0,0,0,0,0,,
Tanqua Milash,Central,Tigray,ET010222,11,0,0,0,0,0,,
Teltalle,Borena,Oromia,ET041212,25,0,0,0,0,0,,
Tsaeda Emba,Eastern,Tigray,ET010314,14,0,0,0,0,0,,
Tsagbiji,Waghimra,Amhara,ET030808,13,0,0,0,0,0,,
Tsimbla,North Western,Tigray,ET010113,7,0,0,0,4,0,0,0
Tsirae Wemberta,Eastern,Tigray,ET010315,0,0,,0,14,2,0.14,
Turmi Town,South Omo,South Ethiopia,ET070704,1,0,0,1,0,0,,
West Imi,Afder,Somali,ET050805,12,12,1,0,0,0,,
