region,zone,woreda,adm3_pcode,hf_name,hf_id,otp_admitted_t1,otp_admitted_t2,otp_active_t1,otp_active_t2,lmri_t1_days,lmri_t2_days,lmri_t1_critical (0/1),lmri_t2_critical (0/1),lmri_delta (t2_days - t1_days),reporting_months_t1,reporting_months_t2,data_reliability_score_t2 (reporting_months_t2 / 6),low_data_flag (1 si DRS < 0.5),rutf_supply_modality_t1,rutf_supply_modality_t2
Somali,Shebele,East Imi,ET050601,Dhey HC,ET050601|dhey hc|01,22,75,1,1,36.0,22.0,1.0,0.0,-14.0,,,,,0.0,0.0
Somali,Shebele,East Imi,ET050601,Boranka HC,ET050601|boranka hc|01,33,15,1,1,40.0,22.0,1.0,0.0,-18.0,,,,,0.0,0.0
Tigray,South Eastern,Samree,ET010606,L/kecherewa,ET010606|l/kecherewa|01,24,31,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,South Eastern,Samree,ET010606,FinarubaHealth center,ET010606|finarubahealth center|01,89,81,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,South Eastern,Samree,ET010606,Metkel limat HP,ET010606|metkel limat hp|01,26,21,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,South Eastern,Samree,ET010606,Samre Health center,ET010606|samre health center|01,21,12,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Somali,Shebele,East Imi,ET050601,Xidigta,ET050601|xidigta|01,12,39,1,1,36.0,56.0,1.0,1.0,20.0,,,,,0.0,0.0
Tigray,Eastern,Hawzen,ET010305,Debra Birhan Health post,ET010305|debra birhan health post|01,20,7,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Somali,Shebele,East Imi,ET050601,Jibanbible,ET050601|jibanbible|01,12,25,1,1,46.0,56.0,1.0,1.0,10.0,,,,,0.0,0.0
Somali,Shebele,East Imi,ET050601,Libaxle,ET050601|libaxle|01,24,87,1,1,20.0,38.0,0.0,1.0,18.0,,,,,0.0,0.0
Tigray,South Eastern,Samree,ET010606,Lemlem Arena Health post,ET010606|lemlem arena health post|01,21,10,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Somali,Shebele,East Imi,ET050601,Cada dhur,ET050601|cada dhur|01,29,24,1,1,42.0,56.0,1.0,1.0,14.0,,,,,0.0,0.0
