adm3_pcode,Region,Zone,Woreda,NGO,activity_code,activity_raw,funding_status
ET041701,Oromia,West Arsi,Siraro,Action for Social Development and Environmental Protection Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET020404,Afar,Fanti /Zone 4,Yalo,Empowerment For Development,COMMUNITY,Community led originated nutrition response,Fully funded
ET040103,Oromia,West Wellega,Gimbi,Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET060306,Benishangul-Gumuz,Assosa,Bilidigilu,Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET060204,Benishangul-Gumuz,Metekel,Mandura,Fayyaa Integrated Development Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET041806,Oromia,Kelem Wellega,Denbi Dollo town,Action Against Hunger,SC,SAM (SC) Stabilization Centre,Fully funded
ET060306,Benishangul-Gumuz,Assosa,Bilidigilu,Action Against Hunger,CAPACITY,Capacity Building,Fully funded
ET040208,Oromia,East Wellega,Gobu Seyo,Fayyaa Integrated Development Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET040208,Oromia,East Wellega,Gobu Seyo,Fayyaa Integrated Development Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET030311,Amhara,North Wello,Dawunt,Action for Social Development and Environmental Protection Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET041017,Oromia,East Hararge,Golo Oda,Fayyaa Integrated Development Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET041017,Oromia,East Hararge,Golo Oda,Fayyaa Integrated Development Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET041017,Oromia,East Hararge,Golo Oda,Fayyaa Integrated Development Organization,SC,SAM (SC) Stabilization Centre,Fully funded
ET041018,Oromia,East Hararge,Meyu Muleke,Fayyaa Integrated Development Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET041018,Oromia,East Hararge,Meyu Muleke,Fayyaa Integrated Development Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET041018,Oromia,East Hararge,Meyu Muleke,Fayyaa Integrated Development Organization,SC,SAM (SC) Stabilization Centre,Fully funded
ET041098,Oromia,East Hararge,Kumbi,Fayyaa Integrated Development Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET041098,Oromia,East Hararge,Kumbi,Fayyaa Integrated Development Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET041098,Oromia,East Hararge,Kumbi,Fayyaa Integrated Development Organization,SC,SAM (SC) Stabilization Centre,Fully funded
ET041018,Oromia,East Hararge,Meyu Muleke,Cooperative for Assistance and Relief Everywhere,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010205,Tigray,Central,Laelay Maychew,Cooperative for Assistance and Relief Everywhere,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET040605,Oromia,North Shewa (OR),Degem,Fayyaa Integrated Development Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET040605,Oromia,North Shewa (OR),Degem,Fayyaa Integrated Development Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET040605,Oromia,North Shewa (OR),Degem,Fayyaa Integrated Development Organization,SC,SAM (SC) Stabilization Centre,Fully funded
ET041219,Oromia,Borena,Dilo,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET041219,Oromia,Borena,Dilo,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET041295,Oromia,Borena,Elwaya,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET041295,Oromia,Borena,Elwaya,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET041295,Oromia,Borena,Elwaya,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET041223,Oromia,Borena,Gomole,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET041223,Oromia,Borena,Gomole,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET041223,Oromia,Borena,Gomole,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET050805,Somali,Afder,West Imi,Concern Worldwide,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET050805,Somali,Afder,West Imi,Concern Worldwide,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET050805,Somali,Afder,West Imi,Concern Worldwide,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET050808,Somali,Afder,Dolobay,Save the Children,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET050808,Somali,Afder,Dolobay,Save the Children,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET030401,Amhara,South Wello,Argoba,Concern Worldwide,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET041806,Oromia,Kelem Wellega,Denbi Dollo town,Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET041806,Oromia,Kelem Wellega,Denbi Dollo town,Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET041801,Oromia,Kelem Wellega,Hawa Galan,Action Against Hunger,SC,SAM (SC) Stabilization Centre,Fully funded
ET041801,Oromia,Kelem Wellega,Hawa Galan,Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET041801,Oromia,Kelem Wellega,Hawa Galan,Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET040197,Oromia,West Wellega,Leta Sibu,Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET040197,Oromia,West Wellega,Leta Sibu,Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET040197,Oromia,West Wellega,Leta Sibu,Action Against Hunger,SC,SAM (SC) Stabilization Centre,Fully funded
ET030807,Amhara,Wag Hamra,Sekota town,Imagine 1 Day,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET030807,Amhara,Wag Hamra,Sekota town,Imagine 1 Day,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET030807,Amhara,Wag Hamra,Sekota town,Imagine 1 Day,"RAPIDASSESSMENTS,SURVEYS….","Nutrition assessment (rapid assessments, surveys….)",Fully funded
ET030807,Amhara,Wag Hamra,Sekota town,Imagine 1 Day,SC,SAM (SC) Stabilization Centre,Fully funded
ET040197,Oromia,West Wellega,Leta Sibu,Action Against Hunger,NUTRITION,Nutrition Supplement/medicine,Fully funded
ET010213,Tigray,Central,Axum town,SOS Children's Villages,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET120407,Gambela,Itang Special woreda,Itang,Plan International,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET120407,Gambela,Itang Special woreda,Itang,Plan International,SC,SAM (SC) Stabilization Centre,Fully funded
ET120407,Gambela,Itang Special woreda,Itang,Plan International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010406,Tigray,Southern,Raya Azebo,Medical Teams International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010406,Tigray,Southern,Raya Azebo,Medical Teams International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010405,Tigray,Southern,Endamehoni,Medical Teams International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010405,Tigray,Southern,Endamehoni,Medical Teams International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010606,Tigray,South Eastern,Samre,SOS Children's Villages,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010606,Tigray,South Eastern,Samre,SOS Children's Villages,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010213,Tigray,Central,Axum town,SOS Children's Villages,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010217,Tigray,Central,Hahayle,Save the Children,SC,SAM (SC) Stabilization Centre,Fully funded
ET050808,Somali,Afder,Dolobay,Doctors with Africa CUAMM,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET050808,Somali,Afder,Dolobay,Doctors with Africa CUAMM,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET050808,Somali,Afder,Dolobay,Doctors with Africa CUAMM,SC,SAM (SC) Stabilization Centre,Fully funded
ET050902,Somali,Liban,Dolo Ado,Doctors with Africa CUAMM,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET050902,Somali,Liban,Dolo Ado,Doctors with Africa CUAMM,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET050902,Somali,Liban,Dolo Ado,Doctors with Africa CUAMM,SC,SAM (SC) Stabilization Centre,Fully funded
ET010220,Tigray,Central,Enticho town,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET030804,Amhara,Wag Hamra,Gaz Gibla,Action for Social Development and Environmental Protection Organization,SC,SAM (SC) Stabilization Centre,Fully funded
ET030804,Amhara,Wag Hamra,Gaz Gibla,Action for Social Development and Environmental Protection Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET041702,Oromia,West Arsi,Shala,World vision international,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET041702,Oromia,West Arsi,Shala,World vision international,SC,SAM (SC) Stabilization Centre,Fully funded
ET041702,Oromia,West Arsi,Shala,World vision international,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET041702,Oromia,West Arsi,Shala,World vision international,CAPACITY,Capacity Building,Fully funded
ET050805,Somali,Afder,West Imi,Concern Worldwide,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET050805,Somali,Afder,West Imi,Concern Worldwide,SC,SAM (SC) Stabilization Centre,Fully funded
ET041805,Oromia,Kelem Wellega,Sayo,Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET041805,Oromia,Kelem Wellega,Sayo,Action Against Hunger,SC,SAM (SC) Stabilization Centre,Fully funded
ET041805,Oromia,Kelem Wellega,Sayo,Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET041805,Oromia,Kelem Wellega,Sayo,Action Against Hunger,NUTRITION,Nutrition Supplement/medicine,Fully funded
ET041801,Oromia,Kelem Wellega,Hawa Galan,Action Against Hunger,NUTRITION,Nutrition Supplement/medicine,Fully funded
ET010309,Tigray,Eastern,Wukro town,Concern Worldwide,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010309,Tigray,Eastern,Wukro town,Concern Worldwide,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010317,Tigray,Eastern,Geraleta,Concern Worldwide,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010314,Tigray,Eastern,Tsaeda Emba,Concern Worldwide,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET040103,Oromia,West Wellega,Gimbi,Action Against Hunger,NUTRITION,Nutrition Supplement/medicine,Fully funded
ET010606,Tigray,South Eastern,Samre,Concern Worldwide,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET050601,Somali,Shabelle,East Imi,Concern Worldwide,SC,SAM (SC) Stabilization Centre,Fully funded
ET041207,Oromia,Borena,Yabelo,SOS Children’s Village,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET041296,Oromia,Borena,Yabelo town,SOS Children’s Village,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET042102,Oromia,East Bale,Lege Hida,World vision international,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET042102,Oromia,East Bale,Lege Hida,World vision international,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET042102,Oromia,East Bale,Lege Hida,World vision international,SC,SAM (SC) Stabilization Centre,Fully funded
ET020404,Afar,Fanti /Zone 4,Yalo,Medical Teams International,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET020404,Afar,Fanti /Zone 4,Yalo,Medical Teams International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET030807,Amhara,Wag Hamra,Sekota town,Imagine 1 Day,BSFP,BSFP _ Feeding,Fully funded
ET042102,Oromia,East Bale,Lege Hida,World vision international,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010402,Tigray,Southern,Bora (TG),World vision international,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010402,Tigray,Southern,Bora (TG),World vision international,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010402,Tigray,Southern,Bora (TG),World vision international,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010402,Tigray,Southern,Bora (TG),World vision international,SC,SAM (SC) Stabilization Centre,Fully funded
ET010401,Tigray,Southern,Selewa,World vision international,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010401,Tigray,Southern,Selewa,World vision international,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010401,Tigray,Southern,Selewa,World vision international,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010216,Tigray,Central,Egela,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010401,Tigray,Southern,Selewa,World vision international,SC,SAM (SC) Stabilization Centre,Fully funded
ET010403,Tigray,Southern,Neqsege,World vision international,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010403,Tigray,Southern,Neqsege,World vision international,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010403,Tigray,Southern,Neqsege,World vision international,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010403,Tigray,Southern,Neqsege,World vision international,SC,SAM (SC) Stabilization Centre,Fully funded
ET010309,Tigray,Eastern,Wukro town,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010302,Tigray,Eastern,Erob,Cooperative for Assistance and Relief Every where,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010302,Tigray,Eastern,Erob,Cooperative for Assistance and Relief Every where,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010302,Tigray,Eastern,Erob,Cooperative for Assistance and Relief Every where,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010305,Tigray,Eastern,Hawzen,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010312,Tigray,Eastern,Hawzen town,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010302,Tigray,Eastern,Erob,Cooperative for Assistance and Relief Every where,SC,SAM (SC) Stabilization Centre,Fully funded
ET040701,Oromia,East Shewa,Fentale,Fayyaa Integrated Development Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010220,Tigray,Central,Enticho town,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010218,Tigray,Central,Endafelasi,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010310,Tigray,Eastern,Bizet,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010316,Tigray,Eastern,Agulae,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010607,Tigray,South Eastern,Adigudom,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010608,Tigray,South Eastern,Wajirat,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010404,Tigray,Southern,Emba Alaje,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010601,Tigray,South Eastern,Saharti,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010315,Tigray,Eastern,Atsbi town,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET041515,Oromia,West Guji,Dugda Dawa,Plan International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010307,Tigray,Eastern,Atsbi,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010205,Tigray,Central,Laelay Maychew,Cooperative for Assistance and Relief Every where,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010205,Tigray,Central,Laelay Maychew,Cooperative for Assistance and Relief Every where,SC,SAM (SC) Stabilization Centre,Fully funded
ET010205,Tigray,Central,Laelay Maychew,Cooperative for Assistance and Relief Every where,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010205,Tigray,Central,Laelay Maychew,Cooperative for Assistance and Relief Every where,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET041018,Oromia,East Hararge,Meyu Muleke,Cooperative for Assistance and Relief Every where,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET041018,Oromia,East Hararge,Meyu Muleke,Cooperative for Assistance and Relief Every where,SC,SAM (SC) Stabilization Centre,Fully funded
ET041018,Oromia,East Hararge,Meyu Muleke,Cooperative for Assistance and Relief Every where,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET041018,Oromia,East Hararge,Meyu Muleke,Cooperative for Assistance and Relief Every where,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET020209,Afar,Kilbati /Zone2,Abaala town,Premiere Urgence Internationale,NUTRITION,Nutrition Supplement/medicine,Fully funded
ET020203,Afar,Kilbati /Zone2,Abaala,Premiere Urgence Internationale,NUTRITION,Nutrition Supplement/medicine,Fully funded
ET020205,Afar,Kilbati /Zone2,Berahile,Premiere Urgence Internationale,NUTRITION,Nutrition Supplement/medicine,Fully funded
ET040991,Oromia,West Hararge,Gumbi Bordede,Mothers and Children Multisectoral Development Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Partially funded
ET040991,Oromia,West Hararge,Gumbi Bordede,Mothers and Children Multisectoral Development Organization,SC,SAM (SC) Stabilization Centre,Partially funded
ET040991,Oromia,West Hararge,Gumbi Bordede,Mothers and Children Multisectoral Development Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Partially funded
ET040991,Oromia,West Hararge,Gumbi Bordede,Mothers and Children Multisectoral Development Organization,MAM,MAM Moderate Acute Malnutrition,Partially funded
ET040991,Oromia,West Hararge,Gumbi Bordede,Mothers and Children Multisectoral Development Organization,AM,PLW_ (AM) Acute Malnutrition,Partially funded
ET040991,Oromia,West Hararge,Gumbi Bordede,Mothers and Children Multisectoral Development Organization,CAPACITY,Capacity Building,Partially funded
ET040217,Oromia,East Wellega,Kiremu,World vision international,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET040217,Oromia,East Wellega,Kiremu,World vision international,SC,SAM (SC) Stabilization Centre,Fully funded
ET040217,Oromia,East Wellega,Kiremu,World vision international,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET020208,Afar,Kilbati /Zone2,Bidu,World vision international,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET020208,Afar,Kilbati /Zone2,Bidu,World vision international,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET020208,Afar,Kilbati /Zone2,Bidu,World vision international,SC,SAM (SC) Stabilization Centre,Fully funded
ET030605,Amhara,East Gojam,Enarj Enawga,Plan International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET030605,Amhara,East Gojam,Enarj Enawga,Plan International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET020403,Afar,Fanti /Zone 4,Teru,Plan International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET020403,Afar,Fanti /Zone 4,Teru,Plan International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET020403,Afar,Fanti /Zone 4,Teru,Plan International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET020402,Afar,Fanti /Zone 4,Euwa,Plan International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET020402,Afar,Fanti /Zone 4,Euwa,Plan International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET020402,Afar,Fanti /Zone 4,Euwa,Plan International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET020206,Afar,Kilbati /Zone2,Dalol,Plan International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET020206,Afar,Kilbati /Zone2,Dalol,Plan International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET020206,Afar,Kilbati /Zone2,Dalol,Plan International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET030808,Amhara,Wag Hamra,Tsagbeji,Plan International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET030808,Amhara,Wag Hamra,Tsagbeji,Plan International,NUTRITION,Nutrition Supplement/medicine,Fully funded
ET030808,Amhara,Wag Hamra,Tsagbeji,Plan International,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET030808,Amhara,Wag Hamra,Tsagbeji,Plan International,SC,SAM (SC) Stabilization Centre,Fully funded
ET041291,Oromia,Borena,Dubluk,Plan International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET041291,Oromia,Borena,Dubluk,Plan International,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET041291,Oromia,Borena,Dubluk,Plan International,SC,SAM (SC) Stabilization Centre,Fully funded
ET040907,Oromia,West Hararge,Goba Koricha,Plan International,SC,SAM (SC) Stabilization Centre,Fully funded
ET040907,Oromia,West Hararge,Goba Koricha,Plan International,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET040907,Oromia,West Hararge,Goba Koricha,Plan International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET040907,Oromia,West Hararge,Goba Koricha,Plan International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET040907,Oromia,West Hararge,Goba Koricha,Plan International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET041223,Oromia,Borena,Gomole,Plan International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET041515,Oromia,West Guji,Dugda Dawa,Plan International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET030301,Amhara,North Wello,Bugna,Afro Ethiopia Integrated Development,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET030301,Amhara,North Wello,Bugna,Afro Ethiopia Integrated Development,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010308,Tigray,Eastern,Adigrat town,Plan International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010308,Tigray,Eastern,Adigrat town,Plan International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET030806,Amhara,Wag Hamra,Sahila,Plan International,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET030806,Amhara,Wag Hamra,Sahila,Plan International,SC,SAM (SC) Stabilization Centre,Fully funded
ET030806,Amhara,Wag Hamra,Sahila,Plan International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET030101,Amhara,North Gondar,Addi Arekay,Plan International,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET030101,Amhara,North Gondar,Addi Arekay,Plan International,SC,SAM (SC) Stabilization Centre,Fully funded
ET030101,Amhara,North Gondar,Addi Arekay,Plan International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET031004,Amhara,Oromia,Artuma Fursi,Plan International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET031004,Amhara,Oromia,Artuma Fursi,Plan International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET031005,Amhara,Oromia,Dewa Harewa,Plan International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET031005,Amhara,Oromia,Dewa Harewa,Plan International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET041223,Oromia,Borena,Gomole,Plan International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET030310,Amhara,North Wello,Lasta,Plan International,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET030310,Amhara,North Wello,Lasta,Plan International,SC,SAM (SC) Stabilization Centre,Fully funded
ET030310,Amhara,North Wello,Lasta,Plan International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET030310,Amhara,North Wello,Lasta,Plan International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET030310,Amhara,North Wello,Lasta,Plan International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010304,Tigray,Eastern,Ganta Afeshum,Plan International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010304,Tigray,Eastern,Ganta Afeshum,Plan International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010301,Tigray,Eastern,Gulo Mekeda,Plan International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010301,Tigray,Eastern,Gulo Mekeda,Plan International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010308,Tigray,Eastern,Adigrat town,Plan International,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010308,Tigray,Eastern,Adigrat town,Plan International,SC,SAM (SC) Stabilization Centre,Fully funded
ET010304,Tigray,Eastern,Ganta Afeshum,Plan International,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010304,Tigray,Eastern,Ganta Afeshum,Plan International,SC,SAM (SC) Stabilization Centre,Fully funded
ET010304,Tigray,Eastern,Ganta Afeshum,Plan International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010301,Tigray,Eastern,Gulo Mekeda,Plan International,SC,SAM (SC) Stabilization Centre,Fully funded
ET010301,Tigray,Eastern,Gulo Mekeda,Plan International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010308,Tigray,Eastern,Adigrat town,Plan International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010602,Tigray,South Eastern,Enderta,Action for Social Development and Environmental Protection Organization,COMMUNITY,Community led originated nutrition response,Fully funded
ET030803,Amhara,Wag Hamra,Dehana,Cooperative for Assistance and Relief Everywhere,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET030802,Amhara,Wag Hamra,Sekota,Cooperative for Assistance and Relief Everywhere,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET030804,Amhara,Wag Hamra,Gaz Gibla,Cooperative for Assistance and Relief Everywhere,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET030805,Amhara,Wag Hamra,Abergele (AM),Cooperative for Assistance and Relief Everywhere,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET030803,Amhara,Wag Hamra,Dehana,Cooperative for Assistance and Relief Everywhere,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET030802,Amhara,Wag Hamra,Sekota,Cooperative for Assistance and Relief Everywhere,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET030804,Amhara,Wag Hamra,Gaz Gibla,Cooperative for Assistance and Relief Everywhere,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET030805,Amhara,Wag Hamra,Abergele (AM),Cooperative for Assistance and Relief Everywhere,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET030803,Amhara,Wag Hamra,Dehana,Cooperative for Assistance and Relief Everywhere,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET030802,Amhara,Wag Hamra,Sekota,Cooperative for Assistance and Relief Everywhere,SC,SAM (SC) Stabilization Centre,Fully funded
ET030804,Amhara,Wag Hamra,Gaz Gibla,Cooperative for Assistance and Relief Everywhere,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
