adm3_pcode,Region,Zone,Woreda,NGO,activity_code,activity_raw,funding_status
ET031213,Amhara,West Gondar,Metema,Medical Teams International,AM,PLW_ (AM) Acute Malnutrition,Partially funded
ET031213,Amhara,West Gondar,Metema,Medical Teams International,OTP,SAM (OTP) Outpatient therapeutic programme,Partially funded
ET031213,Amhara,West Gondar,Metema,Medical Teams International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Partially funded
ET030101,Amhara,North Gondar,Addi Arekay,Medical Teams International,MAM,MAM Moderate Acute Malnutrition,Partially funded
ET030101,Amhara,North Gondar,Addi Arekay,Medical Teams International,AM,PLW_ (AM) Acute Malnutrition,Partially funded
ET030101,Amhara,North Gondar,Addi Arekay,Medical Teams International,CAPACITY,Capacity Building,Partially funded
ET030102,Amhara,North Gondar,Beyeda,Medical Teams International,OTP,SAM (OTP) Outpatient therapeutic programme,Partially funded
ET030102,Amhara,North Gondar,Beyeda,Medical Teams International,SC,SAM (SC) Stabilization Centre,Partially funded
ET030102,Amhara,North Gondar,Beyeda,Medical Teams International,NUTRITION,Nutrition Supplement/medicine,Partially funded
ET030119,Amhara,North Gondar,Telemt,Medical Teams International,OTP,SAM (OTP) Outpatient therapeutic programme,Partially funded
ET030119,Amhara,North Gondar,Telemt,Medical Teams International,SC,SAM (SC) Stabilization Centre,Partially funded
ET030119,Amhara,North Gondar,Telemt,Medical Teams International,NUTRITION,Nutrition Supplement/medicine,Partially funded
ET050104,Somali,Siti,Erer (SM),Medical Teams International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET050198,Somali,Siti,Gota-Biki,Medical Teams International,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET050104,Somali,Siti,Erer (SM),Medical Teams International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET050198,Somali,Siti,Gota-Biki,Medical Teams International,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET030119,Amhara,North Gondar,Telemt,Action for Social Development and Environmental Protection Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Partially funded
ET030119,Amhara,North Gondar,Telemt,Action for Social Development and Environmental Protection Organization,SC,SAM (SC) Stabilization Centre,Partially funded
ET030119,Amhara,North Gondar,Telemt,Action for Social Development and Environmental Protection Organization,MAM,MAM Moderate Acute Malnutrition,Partially funded
ET030119,Amhara,North Gondar,Telemt,Action for Social Development and Environmental Protection Organization,AM,PLW_ (AM) Acute Malnutrition,Partially funded
ET030119,Amhara,North Gondar,Telemt,Action for Social Development and Environmental Protection Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Partially funded
ET020307,Afar,Gabi /Zone 3,Hanruka,Action for Social Development and Environmental Protection Organization,SC,SAM (SC) Stabilization Centre,Fully funded
ET020307,Afar,Gabi /Zone 3,Hanruka,Action for Social Development and Environmental Protection Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET020307,Afar,Gabi /Zone 3,Hanruka,Action for Social Development and Environmental Protection Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET020203,Afar,Kilbati /Zone2,Abaala,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET020203,Afar,Kilbati /Zone2,Abaala,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET020401,Afar,Fanti /Zone 4,Awra (AF),GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET020401,Afar,Fanti /Zone 4,Awra (AF),GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET020405,Afar,Fanti /Zone 4,Gulina,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET020405,Afar,Fanti /Zone 4,Gulina,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET020402,Afar,Fanti /Zone 4,Euwa,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET020402,Afar,Fanti /Zone 4,Euwa,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET020205,Afar,Kilbati /Zone2,Berahile,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET020205,Afar,Kilbati /Zone2,Berahile,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET030304,Amhara,North Wello,Meket,Action for Social Development and Environmental Protection Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Partially funded
ET030304,Amhara,North Wello,Meket,Action for Social Development and Environmental Protection Organization,SC,SAM (SC) Stabilization Centre,Partially funded
ET030304,Amhara,North Wello,Meket,Action for Social Development and Environmental Protection Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Partially funded
ET030311,Amhara,North Wello,Dawunt,Action for Social Development and Environmental Protection Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET030311,Amhara,North Wello,Dawunt,Action for Social Development and Environmental Protection Organization,SC,SAM (SC) Stabilization Centre,Fully funded
ET040601,Oromia,North Shewa (OR),Wara Jarso,Action for Social Development and Environmental Protection Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Partially funded
ET040601,Oromia,North Shewa (OR),Wara Jarso,Action for Social Development and Environmental Protection Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Partially funded
ET040601,Oromia,North Shewa (OR),Wara Jarso,Action for Social Development and Environmental Protection Organization,SC,SAM (SC) Stabilization Centre,Partially funded
ET040116,Oromia,West Wellega,Begi,Action for Social Development and Environmental Protection Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Partially funded
ET040116,Oromia,West Wellega,Begi,Action for Social Development and Environmental Protection Organization,SC,SAM (SC) Stabilization Centre,Partially funded
ET040116,Oromia,West Wellega,Begi,Action for Social Development and Environmental Protection Organization,MAM,MAM Moderate Acute Malnutrition,Partially funded
ET040116,Oromia,West Wellega,Begi,Action for Social Development and Environmental Protection Organization,AM,PLW_ (AM) Acute Malnutrition,Partially funded
ET040116,Oromia,West Wellega,Begi,Action for Social Development and Environmental Protection Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Partially funded
ET050105,Somali,Siti,Afdem,Nexus Ethiopia,"RAPIDASSESSMENTS,SURVEYS….","Nutrition assessment (rapid assessments, surveys….)",Fully funded
ET030301,Amhara,North Wello,Bugna,Action for Social Development and Environmental Protection Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET041701,Oromia,West Arsi,Siraro,Nexus Ethiopia,"RAPIDASSESSMENTS,SURVEYS….","Nutrition assessment (rapid assessments, surveys….)",Fully funded
ET030301,Amhara,North Wello,Bugna,Action for Social Development and Environmental Protection Organization,SC,SAM (SC) Stabilization Centre,Fully funded
ET030311,Amhara,North Wello,Dawunt,Nexus Ethiopia,"RAPIDASSESSMENTS,SURVEYS….","Nutrition assessment (rapid assessments, surveys….)",Fully funded
ET030301,Amhara,North Wello,Bugna,Action for Social Development and Environmental Protection Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET050604,Somali,Shabelle,Gode,Action Against Hunger,SC,SAM (SC) Stabilization Centre,Fully funded
ET050604,Somali,Shabelle,Gode,Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET050604,Somali,Shabelle,Gode,Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET050604,Somali,Shabelle,Gode,Action Against Hunger,NUTRITION,Nutrition Supplement/medicine,Fully funded
ET050602,Somali,Shabelle,Adadle,Action Against Hunger,SC,SAM (SC) Stabilization Centre,Fully funded
ET050602,Somali,Shabelle,Adadle,Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET050602,Somali,Shabelle,Adadle,Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET050602,Somali,Shabelle,Adadle,Action Against Hunger,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET050602,Somali,Shabelle,Adadle,Action Against Hunger,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET050602,Somali,Shabelle,Adadle,Action Against Hunger,NUTRITION,Nutrition Supplement/medicine,Fully funded
ET050698,Somali,Shabelle,Elale,Action Against Hunger,SC,SAM (SC) Stabilization Centre,Fully funded
ET050698,Somali,Shabelle,Elale,Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET050698,Somali,Shabelle,Elale,Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET050698,Somali,Shabelle,Elale,Action Against Hunger,NUTRITION,Nutrition Supplement/medicine,Fully funded
ET050608,Somali,Shabelle,Berocano,Action Against Hunger,SC,SAM (SC) Stabilization Centre,Fully funded
ET050608,Somali,Shabelle,Berocano,Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET050608,Somali,Shabelle,Berocano,Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET050608,Somali,Shabelle,Berocano,Action Against Hunger,NUTRITION,Nutrition Supplement/medicine,Fully funded
ET030407,Amhara,South Wello,Kalu,Concern Worldwide,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET030402,Amhara,South Wello,Tenta,Concern Worldwide,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET030402,Amhara,South Wello,Tenta,Concern Worldwide,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET030407,Amhara,South Wello,Kalu,Concern Worldwide,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET031122,Amhara,Central Gondar,Kinfaz Begela,Concern Worldwide,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET031122,Amhara,Central Gondar,Kinfaz Begela,Concern Worldwide,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET030102,Amhara,North Gondar,Beyeda,Concern Worldwide,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET030102,Amhara,North Gondar,Beyeda,Concern Worldwide,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET050809,Somali,Afder,Raso,Concern Worldwide,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET050809,Somali,Afder,Raso,Concern Worldwide,SC,SAM (SC) Stabilization Centre,Fully funded
ET050809,Somali,Afder,Raso,Concern Worldwide,CAPACITY,Capacity Building,Fully funded
ET050809,Somali,Afder,Raso,Concern Worldwide,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010307,Tigray,Eastern,Atsbi,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010307,Tigray,Eastern,Atsbi,GOAL Ethiopia,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010307,Tigray,Eastern,Atsbi,GOAL Ethiopia,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010316,Tigray,Eastern,Agulae,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010316,Tigray,Eastern,Agulae,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET010316,Tigray,Eastern,Agulae,GOAL Ethiopia,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010316,Tigray,Eastern,Agulae,GOAL Ethiopia,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010601,Tigray,South Eastern,Saharti,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010601,Tigray,South Eastern,Saharti,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET010601,Tigray,South Eastern,Saharti,GOAL Ethiopia,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010601,Tigray,South Eastern,Saharti,GOAL Ethiopia,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010608,Tigray,South Eastern,Wajirat,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010608,Tigray,South Eastern,Wajirat,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET010608,Tigray,South Eastern,Wajirat,GOAL Ethiopia,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010608,Tigray,South Eastern,Wajirat,GOAL Ethiopia,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010315,Tigray,Eastern,Atsbi town,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010315,Tigray,Eastern,Atsbi town,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET010315,Tigray,Eastern,Atsbi town,GOAL Ethiopia,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010315,Tigray,Eastern,Atsbi town,GOAL Ethiopia,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010607,Tigray,South Eastern,Adigudom,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010607,Tigray,South Eastern,Adigudom,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET010607,Tigray,South Eastern,Adigudom,GOAL Ethiopia,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010607,Tigray,South Eastern,Adigudom,GOAL Ethiopia,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010305,Tigray,Eastern,Hawzen,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010305,Tigray,Eastern,Hawzen,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET010305,Tigray,Eastern,Hawzen,GOAL Ethiopia,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010305,Tigray,Eastern,Hawzen,GOAL Ethiopia,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010404,Tigray,Southern,Emba Alaje,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010404,Tigray,Southern,Emba Alaje,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET010404,Tigray,Southern,Emba Alaje,GOAL Ethiopia,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010404,Tigray,Southern,Emba Alaje,GOAL Ethiopia,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010312,Tigray,Eastern,Hawzen town,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010312,Tigray,Eastern,Hawzen town,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET010312,Tigray,Eastern,Hawzen town,GOAL Ethiopia,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010312,Tigray,Eastern,Hawzen town,GOAL Ethiopia,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010310,Tigray,Eastern,Bizet,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010310,Tigray,Eastern,Bizet,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET010310,Tigray,Eastern,Bizet,GOAL Ethiopia,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010310,Tigray,Eastern,Bizet,GOAL Ethiopia,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010218,Tigray,Central,Endafelasi,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010218,Tigray,Central,Endafelasi,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET010218,Tigray,Central,Endafelasi,GOAL Ethiopia,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010218,Tigray,Central,Endafelasi,GOAL Ethiopia,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010220,Tigray,Central,Enticho town,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
