Region,Zone,Woreda,adm3_pcode,ngo_count,ngo_types,activity_count,records,funding_statuses,coverage_index,ngo_list,activity_list,coverage_class
Tigray,North Western,Indabaguna,ET010114,0,0,0,0,0,0,,,0
Gambella,Itang Special woreda,Intang,ET120407,0,0,0,0,0,0,,,0
South Ethiopia,Ari zone,Jinka town,ET070709,0,0,0,0,0,0,,,0
Somali,Fafan,Kabribayah,ET050206,0,0,0,0,0,0,,,0
Somali,Shebele,Kelafo,ET050605,0,0,0,0,0,0,,,0
Somali,Liben,Kersadula,,0,0,0,0,0,0,,,0
Tigray,Central,Keyh-Tekli,ET010221,0,0,0,0,0,0,,,0
Tigray,Eastern,Kilte-awlaelo,ET010306,0,0,0,0,0,0,,,0
Tigray,Central,Kolla-tembien,ET010208,0,0,0,0,0,0,,,0
Tigray,North Western,Laelay Koraro,ET010104,2,2,5,27,1,7,International Rescue Committee; Mothers and Children Multisectoral Development Organization,IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,2
Tigray,North Western,Laelay Koraro,ET010104,3,2,4,31,1,7,Alliance for Medical Action; International Organization for Migration; International Rescue Committee,IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme,3-4
Tigray,Central,Lailay Maichew,ET010205,0,0,0,0,0,0,,,0
Oromia,West Wollega,Lataa sibuu,ET040197,0,0,0,0,0,0,,,0
Oromia,East Bale,Lega Hidha,ET042102,0,0,0,0,0,0,,,0
Tigray,Southern,Maichew,ET010409,0,0,0,0,0,0,,,0
Somali,Korahe,Marsin,ET050586,0,0,0,0,0,0,,,0
Tigray,Southern,Mekoni,ET010412,0,0,0,0,0,0,,,0
Oromia,West Wollega,Mena Sibu,ET040101,0,0,0,0,0,0,,,0
Oromia,West Wollega,Mendi,ET040198,0,0,0,0,0,0,,,0
Oromia,West Hararghe,Mieso,ET040901,1,1,3,4,1,4,Positive Action for Development,Capacity Building; Community led originated nutrition response; IYCF -E  Infant and Young Child Feeding in Emergencies,1
